upstream_symbol	value	declaration_names	runtime_reverse_name	classification_markers	source_locations	moonbit_implementation	test_location	status
SyntaxKind[61]	61	QuestionQuestionToken	QuestionQuestionToken		QuestionQuestionToken@src/compiler/types.ts:110	syntax_kind.mbt; syntax_kind_names.mbt; syntax_kind_markers.mbt	syntax_kind_wbtest.mbt; scripts/audit-moonbit-syntax-kind.mjs	complete
SyntaxKind[62]	62	BacktickToken	BacktickToken		BacktickToken@src/compiler/types.ts:112	syntax_kind.mbt; syntax_kind_names.mbt; syntax_kind_markers.mbt	syntax_kind_wbtest.mbt; scripts/audit-moonbit-syntax-kind.mjs	complete
SyntaxKind[63]	63	HashToken	HashToken		HashToken@src/compiler/types.ts:114	syntax_kind.mbt; syntax_kind_names.mbt; syntax_kind_markers.mbt	syntax_kind_wbtest.mbt; scripts/audit-moonbit-syntax-kind.mjs	complete
SyntaxKind[64]	64	EqualsToken	FirstAssignment	FirstAssignment	EqualsToken@src/compiler/types.ts:116, FirstAssignment@src/compiler/types.ts:459	syntax_kind.mbt; syntax_kind_names.mbt; syntax_kind_markers.mbt	syntax_kind_wbtest.mbt; scripts/audit-moonbit-syntax-kind.mjs	complete
SyntaxKind[65]	65	PlusEqualsToken	FirstCompoundAssignment	FirstCompoundAssignment	PlusEqualsToken@src/compiler/types.ts:117, FirstCompoundAssignment@src/compiler/types.ts:461	syntax_kind.mbt; syntax_kind_names.mbt; syntax_kind_markers.mbt	syntax_kind_wbtest.mbt; scripts/audit-moonbit-syntax-kind.mjs	complete
SyntaxKind[66]	66	MinusEqualsToken	MinusEqualsToken		MinusEqualsToken@src/compiler/types.ts:118	syntax_kind.mbt; syntax_kind_names.mbt; syntax_kind_markers.mbt	syntax_kind_wbtest.mbt; scripts/audit-moonbit-syntax-kind.mjs	complete
SyntaxKind[67]	67	AsteriskEqualsToken	AsteriskEqualsToken		AsteriskEqualsToken@src/compiler/types.ts:119	syntax_kind.mbt; syntax_kind_names.mbt; syntax_kind_markers.mbt	syntax_kind_wbtest.mbt; scripts/audit-moonbit-syntax-kind.mjs	complete
SyntaxKind[68]	68	AsteriskAsteriskEqualsToken	AsteriskAsteriskEqualsToken		AsteriskAsteriskEqualsToken@src/compiler/types.ts:120	syntax_kind.mbt; syntax_kind_names.mbt; syntax_kind_markers.mbt	syntax_kind_wbtest.mbt; scripts/audit-moonbit-syntax-kind.mjs	complete
SyntaxKind[69]	69	SlashEqualsToken	SlashEqualsToken		SlashEqualsToken@src/compiler/types.ts:121	syntax_kind.mbt; syntax_kind_names.mbt; syntax_kind_markers.mbt	syntax_kind_wbtest.mbt; scripts/audit-moonbit-syntax-kind.mjs	complete
SyntaxKind[70]	70	PercentEqualsToken	PercentEqualsToken		PercentEqualsToken@src/compiler/types.ts:122	syntax_kind.mbt; syntax_kind_names.mbt; syntax_kind_markers.mbt	syntax_kind_wbtest.mbt; scripts/audit-moonbit-syntax-kind.mjs	complete
SyntaxKind[71]	71	LessThanLessThanEqualsToken	LessThanLessThanEqualsToken		LessThanLessThanEqualsToken@src/compiler/types.ts:123	syntax_kind.mbt; syntax_kind_names.mbt; syntax_kind_markers.mbt	syntax_kind_wbtest.mbt; scripts/audit-moonbit-syntax-kind.mjs	complete
SyntaxKind[72]	72	GreaterThanGreaterThanEqualsToken	GreaterThanGreaterThanEqualsToken		GreaterThanGreaterThanEqualsToken@src/compiler/types.ts:124	syntax_kind.mbt; syntax_kind_names.mbt; syntax_kind_markers.mbt	syntax_kind_wbtest.mbt; scripts/audit-moonbit-syntax-kind.mjs	complete
